country,state,district,num_donors,total_amount,avg_amount
INDIA,TRIPURA,WEST TRIPURA,11,2951,268.27
INDIA,UTTAR PRADESH,AGRA,95,58112,611.71
INDIA,UTTAR PRADESH,ALIGARH,36,21781,605.03
INDIA,UTTAR PRADESH,ALLAHABAD,131,105127,802.5
INDIA,UTTAR PRADESH,AMBEDKAR NAGAR,23,6588,286.43
INDIA,UTTAR PRADESH,AMETHI,12,5711,475.92
INDIA,UTTAR PRADESH,AURAIYA,23,10623,461.87
INDIA,UTTAR PRADESH,AZAMGARH,25,15392,615.68
INDIA,UTTAR PRADESH,BADAUN,3,1310,436.67
INDIA,UTTAR PRADESH,BAGHPAT,11,8503,773
INDIA,UTTAR PRADESH,BAHRAICH,3,2211,737
INDIA,UTTAR PRADESH,BALLIA,28,5166,184.5
INDIA,UTTAR PRADESH,BALRAMPUR,1,500,500
INDIA,UTTAR PRADESH,BANDA,12,3410,284.17
INDIA,UTTAR PRADESH,BARABANKI,16,2813,175.81
INDIA,UTTAR PRADESH,BAREILLY,43,34884,811.26
INDIA,UTTAR PRADESH,BASTI,19,5006,263.47
INDIA,UTTAR PRADESH,BIJNOR,26,17476,672.15
INDIA,UTTAR PRADESH,BULANDSHAHR,36,17172,477
INDIA,UTTAR PRADESH,CHANDAULI,11,3194,290.36
INDIA,UTTAR PRADESH,CHITRAKOOT,4,1201,300.25
INDIA,UTTAR PRADESH,DEORIA,21,12533,596.81
INDIA,UTTAR PRADESH,ETAH,11,2631,239.18
INDIA,UTTAR PRADESH,ETAWAH,12,2232,186
INDIA,UTTAR PRADESH,FAIZABAD,13,2293,176.38
INDIA,UTTAR PRADESH,FARRUKHABAD,9,5161,573.44
INDIA,UTTAR PRADESH,FATEHPUR,10,11801,1180.1
INDIA,UTTAR PRADESH,FIROZABAD,8,2791,348.88
INDIA,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,659,940739,1427.53
INDIA,UTTAR PRADESH,GHAZIABAD,794,854319,1075.97
INDIA,UTTAR PRADESH,GHAZIPUR,23,14007,609
INDIA,UTTAR PRADESH,GONDA,8,2012,251.5
INDIA,UTTAR PRADESH,GORAKHPUR,57,20960,367.72
INDIA,UTTAR PRADESH,HAMIRPUR,7,6910,987.14
INDIA,UTTAR PRADESH,HAPUR,22,13962,634.64
INDIA,UTTAR PRADESH,HARDOI,10,4582,458.2
INDIA,UTTAR PRADESH,JALAUN,15,8965,597.67
INDIA,UTTAR PRADESH,JAUNPUR,29,18504,638.07
INDIA,UTTAR PRADESH,JHANSI,46,33705,732.72
INDIA,UTTAR PRADESH,JYOTIBA PHULE NAGAR,10,1192,119.2
INDIA,UTTAR PRADESH,KANNAUJ,6,1313,218.83
INDIA,UTTAR PRADESH,KANPUR DEHAT (RAMA BAI NAGAR),9,2108,234.22
INDIA,UTTAR PRADESH,KANPUR NAGAR,216,153748,711.8
INDIA,UTTAR PRADESH,KANSHIRAM NAGAR,8,2182,272.75
INDIA,UTTAR PRADESH,KAUSHAMBI,2,551,275.5
INDIA,UTTAR PRADESH,KUSHINAGAR,22,5991,272.32
INDIA,UTTAR PRADESH,LAKHIMPUR KHERI,18,16145,896.94
INDIA,UTTAR PRADESH,LALITPUR,4,1301,325.25
INDIA,UTTAR PRADESH,LUCKNOW,345,258448,749.12
INDIA,UTTAR PRADESH,MAHAMAYA NAGAR,9,5220,580
INDIA,UTTAR PRADESH,MAHARAJGANJ,8,1433,179.12
INDIA,UTTAR PRADESH,MAHOBA,7,2100,300
INDIA,UTTAR PRADESH,MAINPURI,10,3602,360.2
INDIA,UTTAR PRADESH,MATHURA,53,53824,1015.55
INDIA,UTTAR PRADESH,MAU,12,3561,296.75
INDIA,UTTAR PRADESH,MEERUT,84,39850,474.4
INDIA,UTTAR PRADESH,MIRZAPUR,17,9381,551.82
INDIA,UTTAR PRADESH,MORADABAD,23,10524,457.57
INDIA,UTTAR PRADESH,MUZAFFARNAGAR,38,29092,765.58
INDIA,UTTAR PRADESH,PILIBHIT,6,802,133.67
INDIA,UTTAR PRADESH,PRATAPGARH,52,9778,188.04
INDIA,UTTAR PRADESH,RAE BARELI,18,7228,401.56
INDIA,UTTAR PRADESH,RAMPUR,7,1122,160.29
INDIA,UTTAR PRADESH,SAHARANPUR,38,12551,330.29
INDIA,UTTAR PRADESH,SANT KABIR NAGAR,7,6500,928.57
INDIA,UTTAR PRADESH,SANT RAVIDAS NAGAR (BHADOHI),7,2180,311.43
INDIA,UTTAR PRADESH,SHAHJAHANPUR,14,2743,195.93
INDIA,UTTAR PRADESH,SHRAVASTI,2,60,30
INDIA,UTTAR PRADESH,SIDDHARTH NAGAR,7,2802,400.29
INDIA,UTTAR PRADESH,SITAPUR,9,7800,866.67
INDIA,UTTAR PRADESH,SONBHADRA,32,9337,291.78
INDIA,UTTAR PRADESH,SULTANPUR,16,2271,141.94
INDIA,UTTAR PRADESH,UNNAO,18,7865,436.94
INDIA,UTTAR PRADESH,VARANASI,84,60149,716.06
INDIA,UTTARAKHAND,ALMORA,28,10265,366.61
INDIA,UTTARAKHAND,BAGESHWAR,9,2511,279
INDIA,UTTARAKHAND,CHAMOLI,7,5924,846.29
INDIA,UTTARAKHAND,CHAMPAWAT,7,3311,473
INDIA,UTTARAKHAND,DEHRA DUN,114,105562,925.98
INDIA,UTTARAKHAND,GARHWAL,16,6852,428.25
INDIA,UTTARAKHAND,HARIDWAR,76,122477,1611.54
INDIA,UTTARAKHAND,NANITAL,43,34586,804.33
INDIA,UTTARAKHAND,PITHORAGARH,17,6747,396.88
INDIA,UTTARAKHAND,RUDRAPRAYAG,5,2200,440
INDIA,UTTARAKHAND,TEHRI GARHWAL,7,7353,1050.43
INDIA,UTTARAKHAND,UDHAM SINGH NAGAR,36,12902,358.39
INDIA,UTTARAKHAND,UTTARKASHI,4,512,128
INDIA,WEST BENGAL,BANKURA,3,5150,1716.67
INDIA,WEST BENGAL,BARDDHAMAN,50,48435,968.7
INDIA,WEST BENGAL,BIRBHUM,6,1110,185
INDIA,WEST BENGAL,DAKSHIN DINAJPUR,5,1311,262.2
INDIA,WEST BENGAL,DARJILING,21,23537,1120.81
INDIA,WEST BENGAL,HAORA,17,9921,583.59
INDIA,WEST BENGAL,HUGLI,38,10425,274.34
INDIA,WEST BENGAL,JALPAIGURI,11,2903,263.91
INDIA,WEST BENGAL,KOCH BIHAR,4,6500,1625
INDIA,WEST BENGAL,KOLKATA,290,286855,989.16
INDIA,WEST BENGAL,MALDAH,6,810,135
INDIA,WEST BENGAL,MURSHIDABAD,7,2602,371.71
INDIA,WEST BENGAL,NADIA,12,2012,167.67
INDIA,WEST BENGAL,NORTH TWENTY FOUR PARGANAS,46,21563,468.76
INDIA,WEST BENGAL,PASCHIM MEDINIPUR,67,30003,447.81
INDIA,WEST BENGAL,PURBA MEDINIPUR,15,13320,888
INDIA,WEST BENGAL,PURULIA,6,2650,441.67
INDIA,WEST BENGAL,SOUTH 24 PARGANAS,30,28104,936.8
INDIA,WEST BENGAL,UTTAR DINAJPUR,7,1801,257.29
